文件名	扩展名	大小(bytes)	Mapper	错误
机甲战士3[恒格电子](JP)[RPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
机甲战士3[晶科泰](JP)[RPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
机器人大战[南晶科技](CN)[SLG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
激斗圣战士[外星科技汉化](JP)[RPG](4Mb).nes	nes	524304	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
剑侠情缘[酷哥电子](CN)[RPG](6Mb).nes	nes	786448	74	This ROM uses a mapper not supported by JSNES: Unknown Mapper(74)
剑侠情缘[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
街霸3[天空联盟汉化](CN)[FTG](5Mb).nes	nes	655376	91	This ROM uses a mapper not supported by JSNES: Pirate HK-SF3 chip(91)
金卡王学习机[丰利](CN)[ETC](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
金卡V5[科王](CN)[ETC](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
金庸群侠传 - 书剑江山[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
金字塔PEC-586学习卡[东达](CN)[ETC](4Mb).nes	nes	524304	170	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 170(170)
金字塔PEC-686F学习卡[东达](CN)[ETC](4Mb).nes	nes	524304	170	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 170(170)
金字塔PEC-9588学习卡[东达](CN)[ETC](4Mb).nes	nes	524304	170	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 170(170)
荆轲新传[晶科泰](CN)[RPG](2Mb).nes	nes	262160	240	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 240(240)
荆轲新传[Super Tone](CN)[RPG](2Mb).nes	nes	262160	240	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 240(240)
精卫填海[恒格电子](CN)[AVG](8Mb).nes	nes	1048592	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
决战太平洋[外星科技](CN)[SLG](4Mb).nes	nes	524304	227	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 227(227)
绝代双娇[南晶科技](CN)[RPG](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
卡拉OK[小霸王](CN)[ETC](8Mb).nes	nes	1048592	168	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 168(168)
科乐美世界 (v20120904)[Nokoh汉化](JP)[ACT](4Mb).nes	nes	524304	23	This ROM uses a mapper not supported by JSNES: Konami VRC2a(23)
科王学习卡[科王](CN)[ETC](4Mb).nes	nes	524304	241	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 241(241)
口袋宝石 - 红[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
口袋宝石 - 金[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
口袋宝石 - 蓝[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
口袋宝石 - 银[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
口袋精灵 - 金[火星电子 (147201688转简体版)](CN)[RPG](8Mb).nes	nes	1048592	15	This ROM uses a mapper not supported by JSNES: 100-in-1 switch(15)
口袋精灵 - 金[火星电子](CN)[RPG](8Mb).nes	nes	1048592	15	This ROM uses a mapper not supported by JSNES: 100-in-1 switch(15)
口袋精灵 - 金[WXN Decryption](CN)[RPG](8Mb).nes	nes	1048592	176	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 176(176)
口袋精灵 - 水晶[火星电子](CN)[RPG](8Mb).nes	nes	1048592	164	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 164(164)
口袋水晶[南晶科技](CN)[RPG](16Mb).nes	nes	2097168	163	This ROM uses a mapper not supported by JSNES: Unknown Mapper, 163(163)
